time,intensity1,temperature1,intensity2,temperature2
0.000299792458,1.0587371276125269e9,0.9626426179215287,3.3795884208163013e9,0.8608117103614122
0.000599584916,1.9677071716141148e9,0.9266894882771127,5.232135986398526e9,0.741251165100207
0.000899377374,2.748066326028412e9,0.8920902654800004,6.24767063633692e9,0.6386879098841504
0.001199169832,3.4179956281779613e9,0.8587961623701595,6.804409020556595e9,0.5509160182933819
0.00149896229,3.9931132909962397e9,0.8267600809168694,7.109659375773187e9,0.4761215981191586
0.001798754748,4.486832644729684e9,0.7959366724326683,7.277052359456909e9,0.41286103419266074
0.002098547206,4.910671591456903e9,0.7662823559965813,7.368872367187625e9,0.36003933799178056
0.002398339664,5.274519451110336e9,0.7377553127202765,7.419259945097393e9,0.31686232415615445
0.0026981321219999997,5.586866690491574e9,0.7103154666912829,7.446929384251616e9,0.28271772928146577
0.00299792458,5.855002493329177e9,0.683924459243945,7.462139438906296e9,0.2569530590634529
0.0032977170379999998,6.085184561292319e9,0.6585456206283409,7.470514099533694e9,0.23861599717944904
0.003597509496,6.28278498775401e9,0.6341439415465959,7.475136834255807e9,0.2263530716885881
0.0038973019540000002,6.452415542455968e9,0.6106860460203896,7.477698491535996e9,0.2185954422034801
0.004197094412,6.598035254728473e9,0.5881401664049428,7.479126498875462e9,0.213885144490085
0.004496886869999999,6.723042786240665e9,0.5664761209248638,7.479929750322561e9,0.21109257778986035
0.004796679328,6.830355738276176e9,0.545665293782102,7.480387657021413e9,0.20944967930452388
0.005096471786,6.922478738533146e9,0.5256806176153659,7.480653779567076e9,0.2084768226268761
0.0053962642439999995,7.001561893277934e9,0.5064965578334015,7.480812639908438e9,0.20788952662575122
0.005696056702,7.069450967299308e9,0.4880890980737289,7.48091086896752e9,0.20752387507311384
0.00599584916,7.127730461854724e9,0.47043572573408887,7.480974286150225e9,0.20728677789602623
0.0062956416179999995,7.177760595488906e9,0.4535154161724065,7.481017266934287e9,0.20712562232406026
0.0065954340759999995,7.220709050545118e9,0.43730861376468294,7.481047882587753e9,0.20701059973683403
0.0068952265339999996,7.257578226157103e9,0.42179720754799105,7.481070721796534e9,0.20692466811105614
0.007195018992,7.289228633706259e9,0.4069644986661131,7.4810884410810375e9,0.20685792617515314
0.00749481145,7.316398980735639e9,0.3927951562997711,7.481102617900752e9,0.20680448082468983
0.0077946039080000005,7.339723412044362e9,0.3792751582408909,7.48111422108546e9,0.20676070699324145
0.008094396366,7.359746310347887e9,0.366391711822563,7.481123871117032e9,0.2067242803814932
0.008394188824,7.376935001937506e9,0.3541331506319726,7.481131984881186e9,0.20669363791119078
0.008693981282,7.391690663879551e9,0.3424888024303038,7.48113885680017e9,0.20666767473442854
0.008993773739999999,7.40435768732153e9,0.331448824125408,7.48114470484127e9,0.20664557221789312
0.009293566198,7.415231715439589e9,0.32100400064894885,7.481149697055484e9,0.20662669866356026
