time,intensity1,varintensity1,temperature1,vartemperature1,intensity2,varintensity2,temperature2,vartemperature2
2.9979245799999995e-5,1.2331074393791093e8,0.0,0.9958867963603703,1.232669502214019e-32,6.165537156895547e8,0.0,0.9794339818018518,1.232609940891532e-32
5.995849159999999e-5,2.4610313675983286e8,9.093523719978727e11,0.9917908830194841,1.0117909676759236e-9,1.2203290114760199e9,0.0,0.959294205777651,0.0
8.993773739999999e-5,3.684162898900905e8,9.108365698174627e12,0.9877109553940113,1.0134423604630879e-8,1.8115782068277829e9,5.68441003140102e-14,0.9395722554892364,0.0
0.00011991698319999998,4.902001993265803e8,9.0329859141971e12,0.9836486814379245,1.0050552283764691e-8,2.3905475873259053e9,2.2737640128871895e-13,0.9202599157339073,0.0
0.00014989622899999998,6.115585560630726e8,1.1337054372511527e14,0.979600602391969,1.2614174183058447e-7,2.957477469961936e9,2.2737640128871895e-13,0.901349170399679,1.2326099412458247e-32
0.00017987547479999998,7.32334330249085e8,1.1243114092480944e14,0.9755719562081475,1.2509651525216432e-7,3.512573298510008e9,6.997734210706092e13,0.8828331666198875,7.786029361789978e-8
0.00020985472059999999,8.527427951074415e8,4.0755426563699325e14,0.9715555621446793,4.5346527650591246e-7,4.056122155791549e9,6.7095646570737695e13,0.8647023283423773,7.465397491788353e-8
0.00023983396639999996,9.72518155265815e8,4.041730662426238e14,0.9675602861808542,4.4970318481022997e-7,4.588317209754101e9,6.4328760020387375e13,0.8469502121779848,7.157539844255388e-8
0.00026981321219999996,1.0917965575820603e9,4.0084325856020644e14,0.9635815869463253,4.4599827410574516e-7,5.109375443992113e9,6.167262403001917e13,0.829569580333068,6.862004858396937e-8
0.00029979245799999996,1.2107898800771668e9,1.128523817440209e15,0.9596123969510554,1.255652088732648e-6,5.6194595567499075e9,2.5583727532037603e14,0.8125550057783665,2.846573587258207e-7
0.00032977170379999997,1.329079314984548e9,1.119141355000633e15,0.9556666861184158,1.2452126913733676e-6,6.118873254421831e9,2.4525850324836156e14,0.7958963579590209,2.728868873869392e-7
0.00035975094959999997,1.4471352265221834e9,2.2103698580830655e15,0.9517287647869319,2.4593681464954397e-6,6.607766848704376e9,2.3509563364781188e14,0.7795886230165158,2.6157916995620606e-7
0.00038973019539999997,1.5644432701214185e9,2.191962378003859e15,0.9478157896446662,2.438887062753431e-6,7.086334604470395e9,2.2533411363073066e14,0.7636253209722036,2.507180141620208e-7
0.00041970944119999997,1.6812640455379748e9,2.1737023307553712e15,0.9439190680194516,2.418570020158817e-6,7.55476516428332e9,2.1595702172692134e14,0.7480001593874883,2.4028459232963326e-7
0.000449688687,1.7975995048582952e9,2.155718423170771e15,0.9400385347966864,2.39856022437679e-6,8.013241558044009e9,2.0695306884776916e14,0.732707033042036,2.3026634365393525e-7
0.0004796679327999999,1.9141427414213216e9,6.100377121278461e15,0.9361510708711236,6.787584945938744e-6,8.461866888325982e9,6.591000517256698e14,0.71774250280419,7.333477094975158e-7
0.0005096471785999999,2.0302426030310493e9,1.0496256400148098e16,0.9322783963420773,1.1678660271977935e-5,8.900963199163044e9,6.315928813236139e14,0.7030958264412673,7.027418548077779e-7
0.0005396264243999999,2.145513584476606e9,1.2881210799498454e16,0.9284333702792271,1.433227991810047e-5,9.33053877883008e9,1.166211707204046e15,0.6887667274861833,1.2975855213909556e-6
0.0005696056701999999,2.259918926840267e9,1.2773203471565192e16,0.9246172188280908,1.4212105558621315e-5,9.750834302463943e9,1.72994033546197e15,0.6747471778805029,1.924818211221123e-6
0.0005995849159999999,2.3738483571095023e9,1.2666053463718206e16,0.9208169420956702,1.409288509638431e-5,1.0162094190229816e10,1.6573530878981825e15,0.6610290246451135,1.8440540061505748e-6
0.0006295641617999999,2.4877465591252832e9,1.581204817249621e16,0.9170177070256615,1.759327628545043e-5,1.0564380259376678e10,1.5875843139173965e15,0.6476102057785342,1.7664257758700544e-6
0.0006595434075999999,2.6011884942099495e9,1.9198482406827844e16,0.9132336913822573,2.1361192526101406e-5,1.0957836222379232e10,1.5204953109878072e15,0.6344859275486106,1.691779192999835e-6
0.0006895226533999999,2.7136974638568935e9,1.903682057455518e16,0.9094807961160618,2.1181319479361558e-5,1.1342600116317905e10,1.4559901808688172e15,0.621651585533952,1.6200075563571934e-6
0.0007195018991999999,2.825737902352657e9,1.88764351380138e16,0.9057435293668169,2.100286661440364e-5,1.1718804287930336e10,1.3939912097947005e15,0.6091027651225863,1.5510243977163378e-6
0.0007494811449999999,2.938333904471883e9,2.738425546563384e16,0.9019877310098344,3.046909337882409e-5,1.208657539734691e10,1.334323446733855e15,0.5968352413873309,1.4846350578020324e-6
0.0007794603907999999,3.0494386226680326e9,2.7154183323175708e16,0.8982816765301005,3.02131035966216e-5,1.2446034362399347e10,1.2769194377305362e15,0.5848449809434737,1.420764483966865e-6
0.0008094396365999998,3.160079994343554e9,2.6924280611794956e16,0.8945910776266575,2.995730233191685e-5,1.2797184776230434e10,2.2603411131997135e15,0.5731318639366687,2.5149686663019623e-6
0.0008394188823999999,3.2708173443430576e9,3.1847279370629844e16,0.8908972772309348,3.5434877176886594e-5,1.314036168043093e10,2.1628305483882422e15,0.561684714582412,2.4064735308986554e-6
0.0008693981281999998,3.380535798902899e9,3.157862936055673e16,0.8872374635287553,3.513596372811972e-5,1.3475554729519028e10,2.0689902347236532e15,0.5505038779688384,2.3020621006396468e-6
0.000899377374,3.489796807684228e9,3.1313947388484256e16,0.8835929085752968,3.4841465317057056e-5,1.3802742131924187e10,3.174750889060283e15,0.5395900809844851,3.5323867546691974e-6
