time,intensity1,varintensity1,temperature1,vartemperature1,intensity2,varintensity2,temperature2,vartemperature2
2.9979245799999995e-5,2.112768829008379e8,3.541000115940922e17,0.9928653396586817,0.0004896763742034776,6.825640533781217e8,4.259611292884699e17,0.977225751944841,0.0004820336543686693
5.995849159999999e-5,4.707871560460743e8,1.5079119361804378e18,0.9842962308596134,0.0016777783003150864,1.3685904144301314e9,1.3809427137124242e18,0.9543487377047329,0.001536505987818949
8.993773739999999e-5,7.036695864042803e8,2.606937936231893e18,0.9765281091426166,0.002900609640876753,2.0163230295702367e9,2.0850728706477965e18,0.9327427033347797,0.0023199564464021476
0.00011991698319999998,9.210336483706338e8,3.619381387322556e18,0.9692627877649519,0.00404614633207221,2.637780947704208e9,2.6247749046624425e18,0.9120040798856027,0.002928925350131184
0.00014989622899999998,1.1261684727653332e9,4.535192844916432e18,0.9624350632674904,0.005046082573110163,3.238276453369577e9,3.052279050435195e18,0.8919827245163859,0.0033961184565580085
0.00017987547479999998,1.3222148577633839e9,5.364783458026718e18,0.9558956597646174,0.005969126615288888,3.8202085419957232e9,3.3838754591749453e18,0.8725715594554494,0.0037650692193294763
0.00020985472059999999,1.5113148113027651e9,6.135085333996189e18,0.9495879642741779,0.006826203040764544,4.3853436657407465e9,3.6355603942310835e18,0.8537206808337813,0.004045106476427537
0.00023983396639999996,1.694472456044515e9,6.85425042325214e18,0.9434195930609038,0.007678796075979688,4.93477119046721e9,3.81940829304454e18,0.8353936706574216,0.004249755801502581
0.00026981321219999996,1.8739791335240948e9,7.549567869475296e18,0.9374377060892872,0.008449024803600463,5.469339727492828e9,3.9422372565949455e18,0.8175612051979507,0.004387648584722535
0.00029979245799999996,2.0498964059632666e9,8.217675232147493e18,0.9316162701697721,0.009151725721375518,5.989863490530433e9,4.0162902013012337e18,0.8001889596903301,0.004475693598712592
0.00032977170379999997,2.219419119409909e9,8.799674811731281e18,0.9259016562377086,0.009853014237585533,6.497487672323712e9,4.0543778462592563e18,0.7832565752479416,0.004518187162546285
0.00035975094959999997,2.384490750598954e9,9.333613886701525e18,0.9204030511634045,0.010434749260087018,6.992695099861756e9,4.061941888998959e18,0.7667487212340321,0.004519596529010285
0.00038973019539999997,2.5475598262285175e9,9.83918459573043e18,0.9149759996044681,0.010998699298114938,7.475297073618133e9,4.0352469287215667e18,0.7506363177818037,0.004499676800788312
0.00041970944119999997,2.7068318154759645e9,1.0318697166383843e19,0.9096929139991856,0.011500499579931303,7.946401384971201e9,3.9892771830906957e18,0.7349279804698992,0.004443837912668531
0.000449688687,2.863096151403796e9,1.0764790329791519e19,0.9044973923125245,0.011977444563847995,8.406165893734068e9,3.923269728338592e18,0.7196004879904602,0.00436522628314939
0.0004796679327999999,3.018517343862116e9,1.1209303360625111e19,0.8993055115882791,0.01248113498092574,8.854471483070683e9,3.836951010931545e18,0.7046361338343676,0.004274094290093024
0.0005096471785999999,3.17040468137035e9,1.1609674829075513e19,0.8942298100005318,0.01293636134822036,9.292340186719051e9,3.738767739684107e18,0.690032290073589,0.004164337109653483
0.0005396264243999999,3.319595397103514e9,1.198519348164344e19,0.8892253705156784,0.013375263384106556,9.719879803188192e9,3.6305687933281516e18,0.6757767793426546,0.004041601540971178
0.0005696056701999999,3.4685518017072034e9,1.236930198599293e19,0.8842628519012826,0.013798637153710153,1.0136948291098904e10,3.5112247504658007e18,0.6618636282273269,0.00390936879448146
0.0005995849159999999,3.615050980485517e9,1.2732210903293274e19,0.8794148790932704,0.01416649517523578,1.0544267903619078e10,3.3871699617032924e18,0.6482810817535918,0.0037687348477523
0.0006295641617999999,3.758814669690321e9,1.3057578421372586e19,0.8746194386020755,0.014528515362464748,1.0941961729338581e10,3.2582334409850086e18,0.6350154436393942,0.0036252736207477263
0.0006595434075999999,3.901353538940347e9,1.337113167666103e19,0.8698449416390154,0.014898201588154058,1.1330038571165903e10,3.124552245659004e18,0.6220626051814352,0.0034797174943829445
0.0006895226533999999,4.041931699392558e9,1.3673965707478747e19,0.8651756710172939,0.01521433871090154,1.1709093253628975e10,2.9895625922432635e18,0.6094266903596035,0.0033263369858352624
0.0007195018991999999,4.179219275202246e9,1.3917891547231814e19,0.8605419400555567,0.01553844421668568,1.2079005745739798e10,2.8534718049005676e18,0.5970747008785785,0.0031801931618456844
0.0007494811449999999,4.31516230806586e9,1.4171882087685356e19,0.8560616789410394,0.01576834539924839,1.2440387337966793e10,2.719208673475801e18,0.5850333454030122,0.0030255276829643215
0.0007794603907999999,4.450421534028003e9,1.441614704907352e19,0.8515499168085126,0.016040126822228846,1.2792773568332191e10,2.5831221264142065e18,0.5732790059937992,0.0028741109787481173
0.0008094396365999998,4.584188709262169e9,1.4646121280795451e19,0.8470879241310922,0.016296007664045195,1.313663965639539e10,2.448440944559539e18,0.5618088679403863,0.002724257954208137
0.0008394188823999999,4.716539400800148e9,1.4862411446214625e19,0.8426731802639208,0.016536662928722693,1.3472110240991892e10,2.3155069099614566e18,0.5506187737387344,0.0025763488931611466
0.0008693981281999998,4.846699662767198e9,1.5053334398302773e19,0.8382524263889993,0.016809656361029192,1.3799272391891848e10,2.1853297051727926e18,0.5396978067608814,0.0024335757545999558
0.000899377374,4.976924142886024e9,1.5255857679464395e19,0.8339876801741973,0.016974430902201954,1.4118487150943897e10,2.0575071143904492e18,0.529057960826221,0.002289285406157252
0.0009293566197999998,5.105112918457763e9,1.5433172215292576e19,0.829665842916288,0.01720675976785356,1.4429582927805277e10,1.9326293291566162e18,0.5186782116299159,0.00215140714852248
