time,intensity1arr,freqintensity1,intensity2arr,freqintensity2,temperature1arr,freqtemperature1,temperature2arr,freqtemperature2,opacity1arr,freqopacity1,opacity2arr,freqopacity2
0.000299792458,1.2677274963959467e9,0.7518967212517753,1.3158034727077162e9,0.01774302051799529,0.8195370571216299,0.0384371103949566,0.8165472425062653,0.9438829617939581,1.1416556995673959,0.7522470922656387,5.737494643899679,0.02216506701796207
0.000299792458,1.4105694076699495e9,0.007453355830976341,1.4600783636692598e9,0.024091826437941475,0.8243017504106787,0.038601773658582486,0.8213597348526052,0.002541384574179965,1.1650803227851114,0.010012667357613445,5.857089688169019,0.03243209334420676
0.000299792458,1.553411318943952e9,0.007192366986732056,1.604353254630803e9,0.02404978136562395,0.8290664436997274,0.038789960245583496,0.8261722271989451,0.0024921422454742097,1.1885049460028267,0.00955203617166997,5.976684732438359,0.03360307801685382
0.000299792458,1.6962532302179549e9,0.007204506002743418,1.7486281455923464e9,0.025710561722166164,0.8338311369887761,0.03904871680270989,0.830984719545285,0.0025401835417725076,1.211929569220542,0.009873265814498973,6.096279776707699,0.0344813165213391
0.000299792458,1.8390951414919574e9,0.007744692215249032,1.89290303655389e9,0.02701395896400942,0.8385958302778248,0.03657876784832161,0.8357972118916249,0.002393657588062699,1.2353541924382576,0.009491426805098459,6.215874820977039,0.03368671977918575
0.000299792458,1.98193705276596e9,0.007665788611175178,2.0371779275154333e9,0.026803733602421796,0.8433605235668735,0.03646115123144598,0.8406097042379648,0.002367234875098635,1.258778815655973,0.009576279918298574,6.335469865246378,0.03339397361102398
0.000299792458,2.1247789640399625e9,0.007944985979436507,2.181452818476977e9,0.027980995627312478,0.8481252168559222,0.03791959728070382,0.8454221965843047,0.0022891677686139003,1.2822034388736885,0.009412634628555497,6.455064909515718,0.0349831670953307
0.000299792458,2.2676208753139653e9,0.007823595819322886,2.3257277094385204e9,0.02703498150016818,0.8528899101449711,0.03707275763919927,0.8502346889306446,0.002346817324171858,1.3056280620914038,0.008994429999212078,6.574659953785058,0.03163749660205341
0.000299792458,2.410462786587968e9,0.007829665327328567,2.470002600400064e9,0.029368483013790785,0.8576546034340198,0.03629648796782009,0.8550471812769845,0.002244729569537975,1.3290526853091191,0.009152014352298005,6.694254998054398,0.03377036154151768
0.000299792458,2.5533046978619704e9,0.007696136151203584,2.614277491361607e9,0.027833837874201142,0.8624192967230685,0.03488508856531251,0.8598596736233244,0.0021486469769413786,1.3524773085268347,0.008739870659611737,6.813850042323738,0.03282939171528344
0.000299792458,2.696146609135973e9,0.00818776629966375,2.7585523823231506e9,0.029200302724520687,0.8671839900121172,0.03500270518218814,0.8646721659696643,0.002167863495460698,1.37590193174455,0.008806540962840398,6.9334450865930775,0.03308031700227924
0.000299792458,2.8389885204099755e9,0.00790856893140242,2.902827273284694e9,0.029978136562394887,0.8719486833011659,0.03413234221730846,0.8694846583160042,0.0020633736760119,1.3993265549622653,0.008867150329411906,7.053040130862417,0.03577776383748406
0.000299792458,2.981830431683978e9,0.008066376139550128,3.0471021642462373e9,0.030545745038681467,0.8767133765902146,0.03295617604855214,0.8742971506623441,0.0020093272176763145,1.4227511781799809,0.008667139419725925,7.172635175131757,0.03489952533299877
0.000299792458,3.124672342957981e9,0.008163488267641026,3.191377055207781e9,0.03313151698620922,0.8814780698792634,0.03302674601867752,0.879109643008684,0.0020777860649013893,1.4461758013976962,0.008848967519440455,7.292230219401096,0.03228572026012588
0.000299792458,3.2675142542319837e9,0.00824846137972056,3.3356519461693244e9,0.03372014799865456,0.8862427631683121,0.03326197925242878,0.883922135355024,0.001890425009338027,1.4696004246154115,0.008309544156954016,7.411825263670437,0.03425130167492629
0.000299792458,3.410356165505986e9,0.008922176768351157,3.4799268371308675e9,0.03315253952236798,0.8910074564573608,0.03457928536143586,0.8887346277013639,0.0018940281065603993,1.493025047833127,0.008400458206811281,7.531420307939777,0.03471133136775192
0.000299792458,3.553198076779989e9,0.008582284320033018,3.624201728092411e9,0.033089471913891694,0.8957721497464095,0.03196819646679683,0.8935471200477038,0.0019264559815617504,1.5164496710508424,0.0079034614009249,7.651015352209116,0.03320577964577714
0.000299792458,3.6960399880539913e9,0.008521589239976207,3.7684766190539546e9,0.036368987554658595,0.9005368430354582,0.03163886993954506,0.8983596123940437,0.001892827074152942,1.5398742942685577,0.008388336333496978,7.770610396478456,0.03446040608075612
0.000299792458,3.8388818993279943e9,0.008503380715959165,3.912751510015498e9,0.03517070299360915,0.9053015363245069,0.03126249676554303,0.9031721047403836,0.0017451000880356754,1.5632989174862733,0.008424701953439884,7.8902054407477955,0.0344813165213391
0.000299792458,3.981723810601997e9,0.008806856116243217,4.0570264009770412e9,0.03611671712075345,0.9100662296135557,0.03065089035778975,0.9079845970867235,0.0017126722130343243,1.5867235407039886,0.007927705147553503,8.009800485017136,0.03272483951236853
0.000299792458,4.1245657218759995e9,0.009031427912453417,4.201301291938585e9,0.03794567776656576,0.9148309229026044,0.031732963233045565,0.9127970894330634,0.0016682340139583987,1.6101481639217041,0.008267117600353958,8.129395529286477,0.03506680885766263
0.000299792458,4.267407633150002e9,0.00900108037242501,4.345576182900127e9,0.037609317188025564,0.9195956161916531,0.029827574039660323,0.9176095817794033,0.0015901669074736644,1.6335727871394194,0.008079228563982278,8.248990573555815,0.0349831670953307
0.000299792458,4.4102495444240055e9,0.009365250852765876,4.489851073861671e9,0.039291120080726535,0.9243603094807018,0.030345087153913104,0.9224220741257432,0.0016778422732180583,1.6569974103571348,0.008230751980411052,8.368585617825156,0.03351943625452188
